LUNA,Labrador Retriever Crossbreed,11697
WALLY,Labrador Retriever,11697
BUDDY,Australian Shepherd,11697
DEXTER,Unknown,11697
MIA,Chihuahua,11697
BELLA,Unknown,11697
PAULIE,Shih Tzu,11697
SEDONA,Labradoodle,11697
BELLA,Unknown,11697
MAUI,German Shepherd Crossbreed,11697
OREO,Bichon Frise Crossbreed,11697
FINN,Morkie,11697
NAME NOT PROVIDED,Shih Tzu,11697
PLATYPUS,Labrador Retriever Crossbreed,11697
PLATYPUS,Labrador Retriever Crossbreed,11697
IZZY,Border Collie,11697
NALA,Labrador Retriever Crossbreed,11697
SKY,German Shepherd Dog,11697
MOLLY,Puggle,11697
WENDY,Bassett Hound,11697
JAMESON,Irish Setter,11697
BRUNO,"Poodle, Toy",11697
JUNIOR,"Poodle, Miniature",11697
ROSY,Labradoodle,11697
LUNA,Labrador Retriever Crossbreed,11697
LUCKY,Cockapoo,11697
MAGGIE,Maltese,11697
UNKNOWN,Shih Tzu Crossbreed,11697
RYLEIGH,Labrador Retriever,11697
MAUI,German Shepherd Crossbreed,11697
DEVITO,Shih Tzu,11697
BEAR,Labrador Retriever,11697
MAX,Bichon Frise,11697
BAILEY,Plott,11697
GOOSE,Terrier mix,11697
BO,Maltese,11697
BUDDY,Puggle,11697
NAME,Cavalier King Charles Spaniel,11697
LUCKY,Labrador Retriever,11697
MOLLY,Poodle Crossbreed,11697
IZZY,Border Collie Crossbreed,11697
BONNIE,German Shepherd Crossbreed,11697
BRODIE,Unknown,11697
DAISY,German Shepherd Dog,11697
NALA,Labrador Retriever Crossbreed,11697
TANK,Vizsla,11697
JOHN,Unknown,11695
PETEY,Dachshund Crossbreed,11694
ODIN,Siberian Husky,11694
PEACHES,Pug Crossbreed,11694
REILLY,Terrier Crossbreed,11694
BUSTER,Pug Crossbreed,11694
SHELDON,Labrador Retriever,11694
MATILDA,American Pit Bull Mix / Pit Bull Mix,11694
SCRAPPY,Russell Terrier,11694
COOPER,Terrier mix,11694
